variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,scheme,algorithm,max_iter,max_time,iter_cat,cpus,processor
log_Evidence,-2575.91361610468,-2575.740576581126,4.059383980738038,3.962551563544116,-2582.836724848722,-2569.524417187325,1.0011713514435927,28964.287321159984,60033.03605292756,scheme_4_inactd,DR,773160,13.1696827856628,6,32,Xeon E5-2670
log_Evidence,-2576.06511863106,-2575.863673798286,4.087194278191206,3.9743649660289924,-2583.0877415400046,-2569.66678421499,1.000041873728031,20457.134128868478,19871.457681138305,scheme_4_inactd,DR,773160,13.1696827856628,8,32,Xeon E5-2670
log_Evidence,-2521.598284723989,-2521.347281953423,4.188710879617332,3.891758347415558,-2528.4402771569917,-2515.3820399063543,1.0000172581807365,16528.21371861669,15988.12860691026,scheme_9_inactd,DR,259578,11.622968860154849,6,32,Xeon E5-2670
log_Evidence,-2521.558622688472,-2521.274447307371,4.073763556200618,3.9259664377477757,-2528.2953734130338,-2515.3298612311396,1.0010125627461894,5331.0380924285,5194.986414049318,scheme_9_inactd,DR,259578,11.622968860154849,8,32,Xeon E5-2670
log_Evidence,-2490.7168881676603,-2490.5367132663296,4.09486211571906,3.9947879417095606,-2497.582324878021,-2484.4085221493947,1.0039872604570887,4119.309389052678,27846.693440480212,scheme_10_inactd,DR,519226,44.398368163948334,6,32,Xeon E5-2670
log_Evidence,-2490.4674955426385,-2490.327057961817,4.043213713504275,3.9564483570965323,-2497.245043806081,-2484.208914806026,1.000536668613046,8845.72719508805,10691.759996767512,scheme_10_inactd,DR,519226,44.398368163948334,8,32,Xeon E5-2670
log_Evidence,-2499.4473867402803,-2499.245481300838,3.9404084562183237,3.7557249077816057,-2505.9795037910617,-2493.3760300403737,1.006132225461711,4221.113135647776,14690.525106975974,scheme_11_inactd,DR,405649,43.79256245599876,6,32,Xeon E5-2670
log_Evidence,-2499.0138525801653,-2498.8688158821788,3.8775891763886463,3.746199137290295,-2505.430534895672,-2493.015364809782,1.0002031354921075,6310.937137974529,6417.862425890314,scheme_11_inactd,DR,405649,43.79256245599876,8,32,Xeon E5-2670
log_Evidence,-2777.1897899486116,-2776.933091374483,4.2353377701086545,3.5772976206322595,-2783.5152222192683,-2771.4157366573863,0.9999931695239171,43865.863255179,41249.67876450309,scheme_1_inact,DR,518451,47.76976479321528,6,16,AMD Opteron 6276
log_Evidence,-2777.212783516371,-2776.9194405479884,4.404548828245449,3.551971128707769,-2783.5796221021546,-2771.4348371198093,1.000360006383936,14363.457594979449,14124.572778506032,scheme_1_inact,DR,518451,47.76976479321528,8,16,AMD Opteron 6276
log_Evidence,-2747.649991261689,-2747.38243984163,4.279624318412868,3.755873133071296,-2754.2704872864906,-2741.643493664908,1.0001173936643353,43272.58228527469,43064.50967057633,scheme_2_inact,DR,528384,47.73624094054944,6,16,AMD Opteron 6276
log_Evidence,-2747.6271860967436,-2747.3150825798484,4.320544380943394,3.6962712485484146,-2754.268710261147,-2741.6435508355867,0.9999657743134801,14017.387688588271,13912.125278277877,scheme_2_inact,DR,528384,47.73624094054944,8,16,AMD Opteron 6276
log_Evidence,-2624.7517339329333,-2624.5703847661675,4.067573819340461,3.944514938829036,-2631.627471782039,-2618.4566215737104,1.0005311443475935,34777.858990214736,36550.69659146753,scheme_3_inact,DR,482120,47.256266388145576,6,16,AMD Opteron 6276
log_Evidence,-2624.9434157999094,-2624.738634963531,4.134723870397718,4.030324435406379,-2631.9810263011505,-2618.561968356244,1.0002667315978109,12150.10182647731,12249.872739649802,scheme_3_inact,DR,482120,47.256266388145576,8,16,AMD Opteron 6276
log_Evidence,-2578.654518386005,-2578.127836188116,5.401224845079594,5.259069911526591,-2588.1819272205175,-2570.78158549805,1.224936590641448,3.0944781592228976,15.70728203884219,scheme_4_inact,DR,399420,44.80232237700009,6,32,AMD Opteron 6276
log_Evidence,-2575.9399019374487,-2575.6664729078047,4.249668340299842,3.9979683773182746,-2583.19607435341,-2569.555133301318,1.0007180799110127,10394.536942588327,10117.560305309311,scheme_4_inact,DR,399420,44.80232237700009,8,32,AMD Opteron 6276
log_Evidence,-2576.2884911023875,-2576.08840426096,4.156597282663749,4.053381293519244,-2583.4033383282717,-2569.8827650391418,0.9999794879915758,43609.98817973239,43049.29896314147,scheme_5_inact,DR,524538,47.68615684162877,6,16,AMD Opteron 6276
log_Evidence,-2576.3167289403414,-2576.079166158481,4.1610796913873465,4.038836458349548,-2583.4801977533216,-2569.9613483915655,1.000006470553528,13903.969029969337,13843.164068801005,scheme_5_inact,DR,524538,47.68615684162877,8,16,AMD Opteron 6276
log_Evidence,-2492.927816382501,-2492.7836794298228,3.911906098675449,3.7258727426873053,-2499.363187975867,-2486.9041708932914,1.0147589053397272,50.847962176681115,12109.728006393894,scheme_6_inactd,DR,655492,47.232480417004915,6,16,Xeon E5-2670
log_Evidence,-2492.2399801542574,-2492.1162471403745,3.8759143859262744,3.6877295555978873,-2498.469863619197,-2486.2798929406963,0.9999916342964639,11472.183700733063,10219.26580917673,scheme_6_inactd,DR,655492,47.232480417004915,8,16,Xeon E5-2670
log_Evidence,-2503.2616261470034,-2503.063115621223,4.523322610729447,4.273152180012268,-2510.435621914142,-2496.380652253847,1.14543915835223,4.43354494290701,35.485210554720055,scheme_7_inactd,DR,114072,44.3583929547614,6,16,Xeon E5-2670
log_Evidence,-2501.387152276654,-2501.277042572448,3.9601206551250363,3.648513189925116,-2507.6897311924586,-2495.271497405327,1.0111716017416863,1844.755332071387,2437.818604973783,scheme_7_inactd,DR,114072,44.3583929547614,8,16,Xeon E5-2670
log_Evidence,-2499.0801293735994,-2498.922654823885,3.9457615128294323,3.7945615181991017,-2505.6287193602047,-2493.0157540322048,1.0062420145106874,6062.495770912347,10509.922864525472,scheme_7_inacts,DR,213852,51.82206451265407,6,32,AMD EPYC 7302P
log_Evidence,-2498.601605100153,-2498.446829367711,3.864305486526948,3.6550074181573815,-2504.9253391645652,-2492.5569395010702,1.0001408074302058,3948.0246132977622,3656.0671266846466,scheme_7_inacts,DR,213852,51.82206451265407,8,32,AMD EPYC 7302P
log_Evidence,-2517.098067706785,-2516.929299426351,3.8412639752080664,3.6251530821305016,-2523.3488356996577,-2511.225125040541,1.000092307662969,9780.221455441815,7900.862825569053,scheme_8_inact,DR,183546,44.29381642043611,6,16,AMD Opteron 6276
log_Evidence,-2517.126659039949,-2516.997269055625,3.78022257323512,3.571787635530411,-2523.2055663931537,-2511.363860717806,1.000044747715451,3150.8190340030383,2944.149780517428,scheme_8_inact,DR,183546,44.29381642043611,8,16,AMD Opteron 6276
log_Evidence,-2521.325814422851,-2521.187479726547,3.8398641313576283,3.6273818653639025,-2527.583519803144,-2515.4926000892274,0.999961366725735,10976.091045282152,10719.271375985227,scheme_9_inact,DR,207263,44.23261409643429,6,16,AMD Opteron 6276
log_Evidence,-2521.355106091627,-2521.1652633817716,3.8577713004615894,3.554407311651897,-2527.4722292050474,-2515.539654748971,1.0004427016208324,3815.6637909324677,3690.1465623484437,scheme_9_inact,DR,207263,44.23261409643429,8,16,AMD Opteron 6276
log_Evidence,-3183.574311135867,-3183.364415511203,4.027330073486903,3.9074282116257963,-3190.4357275654825,-3177.370662377339,0.9999906917177863,80331.54935010882,80108.37390313557,scheme_1_inact,DNR,866525,47.86543540346994,6,16,AMD Opteron 6276
log_Evidence,-3183.595910970402,-3183.4043573863464,4.035170450587763,3.897505791433091,-3190.486949569927,-3177.358154740622,1.0000247493494534,26299.32271987819,26229.463782486306,scheme_1_inact,DNR,866525,47.86543540346994,8,16,AMD Opteron 6276
log_Evidence,-3045.3477729743154,-3045.102122543183,4.255806434881567,4.1089030858183255,-3052.5232958175247,-3038.882693950213,0.9999964520431653,68315.29836877006,66763.8656318881,scheme_2_inact,DNR,777872,47.85957282628349,6,16,AMD Opteron 6276
log_Evidence,-3045.3281536624163,-3045.102627534722,4.2228019839114195,4.106478904084814,-3052.4177882633953,-3038.830544115951,0.9999910240896925,22744.872502266575,22420.446939089754,scheme_2_inact,DNR,777872,47.85957282628349,8,16,AMD Opteron 6276
log_Evidence,-3030.8931560811693,-3030.721424041265,4.476298457426699,4.422901310319029,-3038.4708369334476,-3023.8321463693483,1.0027546924541075,56459.150591462,57297.24848839311,scheme_3_inact,DNR,727872,47.70808909143805,6,16,AMD Opteron 6276
log_Evidence,-3031.1223923964294,-3030.939833556309,4.452951616370259,4.375490958155982,-3038.7325127843737,-3024.059913245564,1.0022795773275146,19226.6254420196,19051.847367978455,scheme_3_inact,DNR,727872,47.70808909143805,8,16,AMD Opteron 6276
log_Evidence,-2881.5346324717457,-2881.275345043534,4.44251345416635,4.0495098101831335,-2888.751489285405,-2874.9662894370053,1.000058142019473,35859.39792743853,36419.17553631641,scheme_4_inact,DNR,519288,45.20876794573593,6,32,AMD Opteron 6276
log_Evidence,-2881.4914848702833,-2881.2136678443503,4.4742696304964795,4.03655788788135,-2888.6487504915117,-2874.890643558768,1.0006063751681835,11567.754610429856,11726.662225313356,scheme_4_inact,DNR,519288,45.20876794573593,8,32,AMD Opteron 6276
log_Evidence,-3124.728829955658,-3124.5308151377785,4.20577699532807,4.09729795815963,-3131.879509168868,-3118.235443229932,1.0000003046468375,58775.809117660465,58425.01485972999,scheme_5_inact,DNR,734426,47.78990125924316,6,16,AMD Opteron 6276
log_Evidence,-3124.724546231855,-3124.488663631936,4.17798273190571,4.085901153339182,-3131.8199359802447,-3118.3021126964213,1.0001179608519222,19346.60675525964,19317.799336186014,scheme_5_inact,DNR,734426,47.78990125924316,8,16,AMD Opteron 6276
log_Evidence,-2870.9963280823126,-2870.862980614539,4.094635632520098,4.0449534503067435,-2877.8193224498136,-2864.6332644197723,1.002725953238015,7373.27624913107,33008.02428284484,scheme_6_inact,DNR,735168,47.34182590758543,6,16,Xeon E5-2670
log_Evidence,-2870.734494865372,-2870.5600125341407,4.117467265747407,3.9853739160974704,-2877.632037699958,-2864.3810431413235,1.0003976731092215,11941.076794559604,11847.521059674275,scheme_6_inact,DNR,735168,47.34182590758543,8,16,Xeon E5-2670
log_Evidence,-3021.398555947864,-3019.989858071538,12.66933150935898,13.95831502550264,-3043.2356561347797,-3002.908945340561,1.909082390287503,1.3910433774221367,11.131734439257347,scheme_7_inact,DNR,123380,44.837281333634365,6,16,Xeon E5-2670
log_Evidence,-3008.9626365068357,-3008.85969520066,5.725801034276783,5.752088695534671,-3018.46931783991,-2999.596061148831,1.2093928039612527,3.338155037604746,25.509333144311064,scheme_7_inact,DNR,123380,44.837281333634365,8,16,Xeon E5-2670
log_Evidence,-2920.00175848148,-2918.5993141058207,10.003627176387578,11.081102250728225,-2937.386880006991,-2905.5604971686234,1.8527852326843133,1.4250152966136191,11.283243432755727,scheme_7_inacts,DNR,231098,48.2586791256385,6,32,AMD EPYC 7302P
log_Evidence,-2910.476443593681,-2910.4318469016416,4.782926651355151,4.737862539998858,-2918.4870280439577,-2902.8016829626945,1.1635171521094776,4.0514519274719545,28.259766900202813,scheme_7_inacts,DNR,231098,48.2586791256385,8,32,AMD EPYC 7302P
log_Evidence,-2957.009676229462,-2956.7962821830715,4.0574439648111715,3.8194921077104302,-2963.6612172501973,-2950.81937188378,1.0067680210913021,1136.9808221689198,10523.715352528123,scheme_8_inact,DNR,259140,44.44004515578596,6,16,AMD Opteron 6276
log_Evidence,-2956.591769939537,-2956.4119586284687,3.9329340538184496,3.7451758366763714,-2963.09363798637,-2950.494760608836,0.9999556973374979,4683.937292414444,3581.9400516945684,scheme_8_inact,DNR,259140,44.44004515578596,8,16,AMD Opteron 6276
log_Evidence,-2973.1983113046363,-2973.046445159501,4.85433151296219,4.745396922731126,-2981.301076207929,-2965.5838078767397,1.0776186596036246,7.751700745094513,35.21581474496834,scheme_9_inact,DNR,376052,45.15119600526847,6,16,AMD Opteron 6276
log_Evidence,-2971.2899921583057,-2971.1341092148505,4.606331803797853,4.511586121830578,-2979.116790389576,-2963.987414495129,1.0205073723513016,51.737023871867436,7702.14622683803,scheme_9_inact,DNR,376052,45.15119600526847,8,16,AMD Opteron 6276
log_Evidence,-2878.9033234041353,-2878.687388726147,4.134233593532414,3.90676763904377,-2885.754256872475,-2872.59303544691,0.9999746225401734,25756.66918962281,24935.224883745672,scheme_10_inact,DNR,465696,47.58283134699134,6,16,Xeon E5-2670
log_Evidence,-2878.8837374595987,-2878.6801037068008,4.068080441371087,3.883516982850565,-2885.8464819933224,-2872.580699022212,1.001594631673752,8645.127296247649,8480.118115147801,scheme_10_inact,DNR,465696,47.58283134699134,8,16,Xeon E5-2670
log_Evidence,-2895.0564543748333,-2894.919593072429,4.513472795934288,4.462293111185917,-2902.6049947362953,-2887.8432308053298,1.0858096513278181,6.961067022930209,35.251094036435255,scheme_11_inact,DNR,440804,46.72235418047288,6,16,Xeon E5-2670
log_Evidence,-2893.2986804861234,-2893.1073571705538,4.271961952103322,4.173105704655026,-2900.619515506756,-2886.62088652029,1.004221498902806,7123.338954138426,8214.82872513917,scheme_11_inact,DNR,440804,46.72235418047288,8,16,Xeon E5-2670
